Region,pop2003,pop2004,pop2005,pop2006,pop2007,pop2008,pop2009,pop2010,poverty-2003,poverty-2004,poverty-2005,poverty-2006,poverty-2007,poverty-2008,poverty-2009,poverty-2010
Acre,0.58,0.6,0.63,0.65,0.67,0.69,0.71,0.73,27.2,24.4,21.6,18.8,16,13.2,10.4,7.55
Alagoas,2.95,2.97,2.99,3.02,3.04,3.06,3.08,3.1,19,16.5,14.1,11.6,9.12,6.64,4.17,1.69
Amapá,0.52,0.53,0.55,0.57,0.59,0.61,0.63,0.64,11.8,10.6,9.35,8.11,6.88,5.65,4.41,3.18
Amazonas,3.11,3.18,3.24,3.3,3.36,3.42,3.48,3.54,21.2,19.4,17.6,15.8,14.1,12.3,10.5,8.67
Bahia,13.8,13.9,14,14.1,14.1,14.2,14.3,14.4,19.9,17.5,15.1,12.7,10.2,7.83,5.41,3
Ceará,8,8.12,8.24,8.37,8.49,8.61,8.73,8.86,19.7,17.2,14.6,12.1,9.49,6.93,4.36,1.8
Distrito Federal,2.28,2.34,2.4,2.46,2.52,2.58,2.64,2.7,1.58,1.35,1.13,0.9,0.68,0.45,0.23,0
Espírito Santo,3.33,3.37,3.4,3.44,3.47,3.51,3.54,3.58,1.71,1.48,1.25,1.02,0.79,0.55,0.32,0.09
Goiás,5.41,5.5,5.6,5.69,5.79,5.88,5.97,6.07,4.72,4.09,3.46,2.83,2.2,1.56,0.93,0.3
Maranhão,6.1,6.18,6.27,6.35,6.43,6.51,6.6,6.68,32,28.5,25,21.6,18.1,14.6,11.2,7.7
Mato Grosso,2.77,2.81,2.85,2.89,2.93,2.97,3.01,3.06,11.4,9.92,8.47,7.02,5.57,4.11,2.66,1.21
Mato Grosso do Sul,2.23,2.27,2.32,2.36,2.4,2.44,2.48,2.53,5.3,4.69,4.08,3.47,2.86,2.26,1.65,1.04
Minas Gerais,18.9,19,19.2,19.3,19.5,19.6,19.8,19.9,4.54,3.96,3.39,2.81,2.24,1.66,1.09,0.51
Pará,6.79,6.94,7.09,7.25,7.4,7.55,7.7,7.86,27.7,24.9,22.1,19.3,16.6,13.8,11,8.23
Paraíba,3.61,3.65,3.69,3.73,3.77,3.81,3.85,3.89,16.4,14.3,12.1,9.87,7.68,5.49,3.3,1.11
Paraná,10.1,10.2,10.3,10.4,10.5,10.6,10.7,10.8,2.47,2.17,1.88,1.58,1.28,0.98,0.69,0.39
Pernambuco,8.45,8.55,8.64,8.73,8.82,8.91,9,9.09,14,12.2,10.4,8.56,6.76,4.95,3.15,1.34
Piauí,3.01,3.03,3.04,3.06,3.07,3.09,3.1,3.12,28.2,25.2,22.1,19,15.9,12.8,9.74,6.66
Rio de Janeiro,15.4,15.6,15.7,15.9,16.1,16.3,16.5,16.6,1.46,1.26,1.06,0.85,0.65,0.45,0.24,0.04
Rio Grande do Norte,3.02,3.05,3.08,3.11,3.13,3.16,3.19,3.22,12.9,11.1,9.38,7.64,5.89,4.15,2.4,0.66
Rio Grande do Sul,10.7,10.7,10.8,10.8,10.9,10.9,10.9,11,2.49,2.18,1.86,1.54,1.23,0.91,0.6,0.28
Rondônia,1.52,1.53,1.54,1.55,1.56,1.57,1.58,1.59,18.7,16.3,14,11.7,9.35,7.02,4.7,2.37
Roraima,0.37,0.38,0.4,0.41,0.43,0.44,0.45,0.47,19.1,17.4,15.6,13.9,12.2,10.4,8.69,6.96
Santa Catarina,5.78,5.87,5.96,6.05,6.13,6.22,6.31,6.4,1.53,1.32,1.12,0.91,0.71,0.5,0.3,0.09
São Paulo,39.3,39.7,40.1,40.6,41,41.4,41.9,42.3,0.53,0.46,0.4,0.33,0.26,0.19,0.12,0.05
Sergipe,1.89,1.92,1.95,1.99,2.02,2.06,2.09,2.13,14,12.2,10.4,8.51,6.67,4.83,2.98,1.14
Tocantins,1.24,1.27,1.3,1.33,1.36,1.39,1.42,1.45,25.4,22.3,19.3,16.2,13.1,9.98,6.89,3.8